detection_datetime,transmitter_id,tagging_project_name,species_common_name,species_scientific_name,animal_sex,receiver_project_name,installation_name,station_name,receiver_name,receiver_deployment_longitude,receiver_deployment_latitude,transmitter_sensor_type,transmitter_type,transmitter_estimated_battery_life,transmitter_deployment_longitude,transmitter_deployment_latitude,transmitter_deployment_datetime
25/05/2022 16:44,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Magnetic Island SCP,VR2W-136074,146.85945,-19.105917,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
24/05/2022 12:29,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Magnetic Island SCP,VR2W-136074,146.85945,-19.105917,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
24/05/2022 6:17,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Magnetic Island SCP,VR2W-136074,146.85945,-19.105917,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
24/05/2022 6:15,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Magnetic Island SCP,VR2W-136074,146.85945,-19.105917,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
24/05/2022 6:12,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Magnetic Island SCP,VR2W-136074,146.85945,-19.105917,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
24/05/2022 6:10,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Magnetic Island SCP,VR2W-136074,146.85945,-19.105917,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
24/05/2022 6:09,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Magnetic Island SCP,VR2W-136074,146.85945,-19.105917,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
24/05/2022 6:07,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Magnetic Island SCP,VR2W-136074,146.85945,-19.105917,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
24/05/2022 6:05,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Magnetic Island SCP,VR2W-136074,146.85945,-19.105917,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
24/05/2022 6:04,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Magnetic Island SCP,VR2W-136074,146.85945,-19.105917,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
24/05/2022 5:58,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Magnetic Island SCP,VR2W-136074,146.85945,-19.105917,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
1/01/2023 23:25,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Pandora Reef MMP,VR2W-107805,146.434567,-18.8168,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
1/01/2023 23:23,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Pandora Reef MMP,VR2W-107805,146.434567,-18.8168,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
23/02/2022 3:33,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Pandora Reef MMP,VR2W-136065,146.434567,-18.8168,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
23/02/2022 3:30,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Pandora Reef MMP,VR2W-136065,146.434567,-18.8168,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
30/12/2022 3:06,A69-9001-63963,IMOS / AIMS Acoustic Telemetry Array Queensland,Great Hammerhead,Sphyrna mokarran,FEMALE,IMOS / AIMS Acoustic Telemetry Array Queensland,IMOS Coastal Array Queensland,Lady Elliot Reef MMP,VR2W-101727,146.33304,-18.68017,PINGER,V16,3469,146.484832,-18.644268,13/08/2021 20:00
